,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ccode,year,fragment,democ,autoc,polity2,durable,xrreg,xrcomp,xropen,xconst,parreg,parcomp,exrec,exconst,polcomp,emonth,interim,post,change,d5,sf,regtrans,variance,stability
0,0,0,0,0,0,0,0,0,0,700,1800,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,-6.0,88.0,1.0,0.0,0.0,0.0,0
1,1,1,1,1,1,1,1,1,1,700,1801,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2,2,2,2,2,2,2,2,2,700,1802,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,3,3,3,3,3,3,3,3,3,700,1803,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,4,4,4,4,4,4,4,4,4,700,1804,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,5,5,5,5,5,5,5,5,5,700,1805,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,6,6,6,6,6,6,6,6,6,700,1806,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,7,7,7,7,7,7,7,7,7,700,1807,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,8,8,8,8,8,8,8,8,8,700,1808,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,9,9,9,9,9,9,9,9,9,700,1809,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,10,10,10,10,10,10,10,10,10,700,1810,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,11,11,11,11,11,11,11,11,11,700,1811,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,12,12,12,12,12,12,12,12,12,700,1812,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,13,13,13,13,13,13,13,13,13,700,1813,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,14,14,14,14,14,14,14,14,14,700,1814,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,15,15,15,15,15,15,15,15,15,700,1815,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,16,16,16,16,16,16,16,16,16,700,1816,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,17,17,17,17,17,17,17,17,17,700,1817,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,18,18,18,18,18,18,18,18,18,700,1818,0.0,1,7,-6.0,0.0,3,1,1,1,3,3,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
